Order_ID,Order Date,Ship Date,Ship Mode,customer name,Segment,Country,Currency,City,State,Region,Category,Sub_Category,Product Name,Item Price,Quantity,Cost,Sales,Expense,% Discount,discount,Packaging Cost,Service and other cost,Total Cost,Profit,,,
DO-1018,1/9/2021,1/13/2021,Standard,3211-melanie seite,1,United States,USD,Laredo,Texas,East,stationary & office items,Art,newell 312,214,86,178,18404,15308,0.05,920,2,5,"2,168.80","16,235.20",,,
DO-1019,1/10/2021,1/15/2021,Standard,400-anthony jacobs,3,United States,USD,Springfield,Virginia,East,home & lifestyle,Furnishings,"howard miller 11-1/2"" diameter ridgewood wall clock",206,99,187,20394,18513,0.05,1020,1,1,859.3,"19,534.70",,,
DO-1020,1/10/2021,1/15/2021,Standard,400-anthony jacobs,3,United States,USD,Springfield,Virginia,East,stationary & office items,Labels,avery 482,232,92,116,21344,10672,0.05,1067,5,1,"9,598.80","11,745.20",,,
DO-1021,1/11/2021,1/14/2021,First Class,4213-seth vernon,1,United States,USD,Dover,Delaware,East,home & lifestyle,Furnishings,"dax value u-channel document frames, easel back",221,73,173,16133,12629,0.04,645,5,1,"2,852.68","13,280.32",,,
DO-1022,1/13/2021,1/15/2021,Second Class,933-chris selesnick,3,United States,USD,Bossier City,Louisiana,East,stationary & office items,Storage,fellowes stor/drawer steel plus storage drawers,244,68,137,16592,9316,0.04,664,1,3,"6,608.32","9,983.68",,,
DO-1023,1/13/2021,1/15/2021,Second Class,933-chris selesnick,3,United States,USD,Bossier City,Louisiana,East,electronics,Accessories,plantronics s12 corded telephone headset system,203,98,100,19894,9800,0.04,796,1,3,"9,294.24","10,599.76",,,
DO-1024,1/13/2021,1/15/2021,Second Class,933-chris selesnick,3,United States,USD,Bossier City,Louisiana,West,stationary & office items,Envelopes,brown kraft recycled envelopes,242,64,196,15488,12544,0.03,465,2,1,"2,476.36","13,011.64",,,
DO-1025,1/13/2021,1/15/2021,Second Class,933-chris selesnick,3,United States,USD,Bossier City,Louisiana,West,stationary & office items,Binders,3-ring staple pack,200,79,167,15800,13193,0.05,790,2,1,"1,814.00","13,986.00",,,
DO-1026,1/13/2021,1/15/2021,Second Class,933-chris selesnick,3,United States,USD,Bossier City,Louisiana,West,stationary & office items,Envelopes,staple envelope,203,99,173,20097,17127,0.04,804,3,5,"2,158.12","17,938.88",,,
DO-1027,1/13/2021,1/16/2021,Second Class,3401-natalie decherney,1,United States,USD,Mount Pleasant,South Carolina,West,home & lifestyle,Chairs,global highback leather tilter in burgundy,231,61,111,14091,6771,0.05,705,1,2,"6,612.45","7,478.55",,,
DO-1028,1/13/2021,1/18/2021,Standard,705-brian dahlen,1,United States,USD,San Francisco,California,West,home & lifestyle,Bookcases,"o'sullivan elevations bookcase, cherry finish",238,99,145,23562,14355,0.03,707,2,2,"8,496.14","15,065.86",,,
DO-1029,1/13/2021,1/18/2021,Standard,705-brian dahlen,1,United States,USD,San Francisco,California,West,stationary & office items,Storage,tennsco 6- and 18-compartment lockers,240,68,147,16320,9996,0.04,653,5,4,"5,662.20","10,657.80",,,
DO-1030,1/13/2021,1/18/2021,Standard,705-brian dahlen,1,United States,USD,San Francisco,California,West,stationary & office items,Art,4009 highlighters by sanford,224,68,197,15232,13396,0.03,457,1,1,"1,377.04","13,854.96",,,
DO-1031,1/13/2021,1/18/2021,Standard,3251-michael moore,1,United States,USD,Newark,Ohio,West,stationary & office items,Binders,avery metallic poly binders,226,93,101,21018,9393,0.04,841,4,5,"10,775.28","10,242.72",,,
DO-1032,1/13/2021,1/18/2021,Standard,3251-michael moore,1,United States,USD,Newark,Ohio,West,stationary & office items,Paper,xerox 1923,216,98,111,21168,10878,0.04,847,4,2,"9,437.28","11,730.72",,,
DO-1033,1/14/2021,1/15/2021,First Class,700-brendan sweed,3,United States,USD,Philadelphia,Pennsylvania,West,home & lifestyle,Bookcases,sauder cornerstone collection library,232,89,111,20648,9879,0.05,1032,2,4,"9,730.60","10,917.40",,,
DO-1034,1/15/2021,1/17/2021,First Class,1634-erica hackney,1,United States,USD,Roswell,Georgia,West,electronics,Accessories,logitech 910-002974 m325 wireless mouse for web scrolling,207,57,118,11799,6726,0.04,472,5,5,"4,591.04","7,207.96",,,
DO-1035,1/16/2021,1/18/2021,Second Class,1368-delfina latchford,1,United States,USD,Philadelphia,Pennsylvania,West,home & lifestyle,Furnishings,dax black cherry wood-tone poster frame,216,90,180,19440,16200,0.05,972,4,4,"2,260.00","17,180.00",,,
DO-1036,1/16/2021,1/18/2021,Second Class,1368-delfina latchford,1,United States,USD,Philadelphia,Pennsylvania,West,stationary & office items,Labels,round specialty laser printer labels,227,91,188,20657,17108,0.05,1033,5,5,"2,506.15","18,150.85",,,
DO-1037,1/16/2021,1/18/2021,Second Class,1368-delfina latchford,1,United States,USD,Philadelphia,Pennsylvania,West,stationary & office items,Binders,gbc linen binding covers,236,72,160,16992,11520,0.04,680,3,2,"4,787.32","12,204.68",,,
DO-1038,1/16/2021,1/18/2021,Second Class,1368-delfina latchford,1,United States,USD,Philadelphia,Pennsylvania,West,electronics,Phones,at&t 841000 phone,245,59,166,14455,9794,0.04,578,3,5,"4,074.80","10,380.20",,,
DO-1039,1/18/2021,1/21/2021,Second Class,1315-david wiener,3,United States,USD,Springfield,Oregon,West,stationary & office items,Appliances,fellowes mighty 8 compact surge protector,206,59,198,12154,11682,0.05,608,2,1,-138.7,"12,292.70",,,
DO-1040,1/19/2021,1/20/2021,First Class,4547-toby swindell,1,United States,USD,Scottsdale,Arizona,West,stationary & office items,Paper,"tops carbonless receipt book, four 2-3/4 x 7-1/4 money receipts per page",242,52,156,12584,8112,0.04,503,2,5,"3,961.64","8,622.36",,,
DO-1041,1/19/2021,1/20/2021,First Class,4547-toby swindell,1,United States,USD,Scottsdale,Arizona,West,stationary & office items,Binders,"gbc standard recycled report covers, clear plastic sheets",243,76,115,18468,8740,0.05,923,5,2,"8,797.60","9,670.40",,,
DO-1042,1/19/2021,1/20/2021,First Class,4547-toby swindell,1,United States,USD,Scottsdale,Arizona,West,stationary & office items,Envelopes,"tyvek  top-opening peel & seel envelopes, plain white",200,68,188,13600,12784,0.03,408,4,4,400,"13,200.00",,,
DO-1043,1/19/2021,1/20/2021,First Class,4547-toby swindell,1,United States,USD,Scottsdale,Arizona,West,home & lifestyle,Bookcases,o'sullivan 4-shelf bookcase in odessa pine,249,69,177,17181,12213,0.03,515,4,1,"4,447.57","12,733.43",,,
DO-1044,1/20/2021,1/26/2021,Standard,2061-hunter lopez,1,United States,USD,Jonesboro,Arkansas,West,home & lifestyle,Chairs,hon 4700 series mobuis mid-back task chairs with adjustable arms,246,55,136,13530,7480,0.05,677,5,3,"5,365.50","8,164.50",,,
DO-1045,1/20/2021,1/26/2021,Standard,2061-hunter lopez,1,United States,USD,Jonesboro,Arkansas,West,home & lifestyle,Furnishings,"eldon expressions desk accessory, wood pencil holder, oak",226,61,182,13786,11102,0.05,689,4,2,"1,988.70","11,797.30",,,
DO-1046,1/20/2021,1/26/2021,Standard,2061-hunter lopez,1,United States,USD,Jonesboro,Arkansas,West,electronics,Phones,apple iphone 5c,229,84,155,19236,13020,0.05,962,4,5,"5,245.20","13,990.80",,,
DO-1047,1/20/2021,1/26/2021,Standard,2061-hunter lopez,1,United States,USD,Jonesboro,Arkansas,North,stationary & office items,Envelopes,staple envelope,229,70,122,16030,8540,0.03,481,2,3,"7,004.10","9,025.90",,,
DO-1048,1/20/2021,1/26/2021,Standard,2061-hunter lopez,1,United States,USD,Jonesboro,Arkansas,North,stationary & office items,Art,newell 327,203,93,167,18879,15531,0.03,566,2,1,"2,778.63","16,100.37",,,
DO-1049,1/20/2021,1/26/2021,Standard,2061-hunter lopez,1,United States,USD,Jonesboro,Arkansas,North,stationary & office items,Art,newell 351,223,89,121,19847,10769,0.05,992,4,3,"8,078.65","11,768.35",,,
DO-1050,1/20/2021,1/25/2021,Standard,3077-mark van huff,1,United States,USD,Los Angeles,California,North,home & lifestyle,Furnishings,"eldon expressions desk accessory, wood pencil holder, oak",236,64,194,15104,12416,0.05,755,1,3,"1,928.80","13,175.20",,,
DO-1051,1/20/2021,1/25/2021,Standard,3077-mark van huff,1,United States,USD,Los Angeles,California,North,stationary & office items,Paper,"wirebound service call books, 5 1/2"" x 4""",227,59,182,13393,10738,0.05,670,5,5,"1,975.35","11,417.65",,,
DO-1052,1/20/2021,1/26/2021,Standard,4758-xylona preis,1,United States,USD,Westland,Michigan,North,stationary & office items,Appliances,"holmes replacement filter for hepa air cleaner, very large room, hepa filter",209,82,163,17138,13366,0.03,514,5,4,"3,248.86","13,889.14",,,
DO-1053,1/20/2021,1/26/2021,Standard,4758-xylona preis,1,United States,USD,Westland,Michigan,North,stationary & office items,Binders,"acco pressboard covers with storage hooks, 9 1/2"" x 11"", executive red",239,93,167,22227,15531,0.04,889,3,5,"5,798.92","16,428.08",,,
DO-1054,1/20/2021,1/26/2021,Standard,4758-xylona preis,1,United States,USD,Westland,Michigan,North,home & lifestyle,Furnishings,eldon clustermat chair mat with cordless antistatic protection,245,54,106,13230,5724,0.03,397,4,4,"7,101.10","6,128.90",,,
DO-1055,1/20/2021,1/26/2021,Standard,4758-xylona preis,1,United States,USD,Westland,Michigan,North,stationary & office items,Storage,fellowes bases and tops for staxonsteel/high-stak systems,230,95,185,21850,17575,0.04,874,2,4,"3,395.00","18,455.00",,,
DO-1056,1/20/2021,1/26/2021,Standard,4758-xylona preis,1,United States,USD,Westland,Michigan,North,stationary & office items,Art,panasonic kp-4abk battery-operated pencil sharpener,200,63,187,12600,11781,0.05,630,5,5,179,"12,421.00",,,
DO-1057,1/20/2021,1/26/2021,Standard,4758-xylona preis,1,United States,USD,Westland,Michigan,North,stationary & office items,Storage,eldon fold 'n roll cart system,230,96,104,22080,9984,0.04,883,2,5,"11,205.80","10,874.20",,,
DO-1058,1/20/2021,1/26/2021,Standard,4758-xylona preis,1,United States,USD,Westland,Michigan,North,stationary & office items,Binders,storex dura pro binders,246,64,148,15744,9472,0.03,472,1,5,"5,793.68","9,950.32",,,
DO-1059,1/20/2021,1/26/2021,Standard,4758-xylona preis,1,United States,USD,Westland,Michigan,North,home & lifestyle,Furnishings,ultra door push plate,231,70,163,16170,11410,0.05,809,5,5,"3,941.50","12,228.50",,,
DO-1060,1/20/2021,1/28/2021,Standard,3358-mike tyson,3,United States,USD,Smyrna,Tennessee,North,stationary & office items,Binders,gbc docubind tl200 manual binding machine,229,63,144,14427,9072,0.05,721,2,5,"4,626.65","9,800.35",,,
DO-1061,1/21/2021,1/23/2021,Second Class,4570-tom boeckenhauer,1,United States,USD,Miami,Florida,North,home & lifestyle,Furnishings,ultra door pull handle,228,66,125,15048,8250,0.03,451,2,2,"6,342.56","8,705.44",,,
DO-1062,1/23/2021,1/28/2021,Standard,2066-ionia mcgrath,1,United States,USD,Las Vegas,Nevada,North,stationary & office items,Paper,xerox 195,205,78,133,15990,10374,0.04,640,5,3,"4,968.40","11,021.60",,,
DO-1063,1/23/2021,1/27/2021,Standard,4275-speros goranitis,1,United States,USD,Lafayette,Indiana,North,stationary & office items,Fasteners,"alliance big bands rubber bands, 12/pack",232,97,150,22504,14550,0.04,900,1,1,"7,051.84","15,452.16",,,
DO-1064,1/26/2021,1/31/2021,Standard,4245-shirley daniels,2,United States,USD,Alexandria,Virginia,North,stationary & office items,Paper,"rediform incoming/outgoing call register, 11"" x 8 1/2"", 100 messages",234,58,136,13572,7888,0.04,543,1,5,"5,135.12","8,436.88",,,
DO-1065,1/26/2021,1/31/2021,Standard,4245-shirley daniels,2,United States,USD,Alexandria,Virginia,North,home & lifestyle,Furnishings,"ge general use halogen bulbs, 100 watts, 1 bulb per pack",230,74,151,17020,11174,0.05,851,2,4,"4,989.00","12,031.00",,,
DO-1066,1/26/2021,1/31/2021,Standard,4245-shirley daniels,2,United States,USD,Alexandria,Virginia,North,stationary & office items,Paper,"eureka recycled copy paper 8 1/2"" x 11"", ream",225,71,157,15975,11147,0.04,639,3,1,"4,185.00","11,790.00",,,
DO-1067,1/26/2021,1/31/2021,Standard,4245-shirley daniels,2,United States,USD,Alexandria,Virginia,North,home & lifestyle,Furnishings,eldon image series black desk accessories,212,66,147,13992,9702,0.04,560,3,1,"3,726.32","10,265.68",,,
DO-1068,1/26/2021,1/31/2021,Standard,4245-shirley daniels,2,United States,USD,Alexandria,Virginia,North,stationary & office items,Storage,"safco commercial wire shelving, 72h",243,76,183,18468,13908,0.03,554,1,5,"3,999.96","14,468.04",,,
DO-1069,1/26/2021,1/31/2021,Standard,4245-shirley daniels,2,United States,USD,Alexandria,Virginia,North,electronics,Phones,macally suction cup mount,239,54,123,12906,6642,0.04,516,2,1,"5,744.76","7,161.24",,,
DO-1070,1/26/2021,1/31/2021,Standard,4245-shirley daniels,2,United States,USD,Alexandria,Virginia,South,electronics,Phones,jabra speak 410,217,80,104,17360,8320,0.05,868,3,1,"8,168.00","9,192.00",,,
DO-1071,1/26/2021,1/29/2021,First Class,825-carol adams,3,United States,USD,Rapid City,South Dakota,South,home & lifestyle,Bookcases,"safco value mate series steel bookcases, baked enamel finish on steel, gray",202,74,100,14948,7400,0.05,747,4,4,"6,792.60","8,155.40",,,
DO-1072,1/26/2021,1/29/2021,First Class,825-carol adams,3,United States,USD,Rapid City,South Dakota,South,stationary & office items,Binders,wilson jones 14 line acrylic coated pressboard data binders,235,61,177,14335,10797,0.05,717,5,4,"2,812.25","11,522.75",,,
DO-1073,1/27/2021,2/2/2021,Standard,1525-ed jacobs,1,United States,USD,San Diego,California,South,stationary & office items,Storage,recycled steel personal file for hanging file folders,203,57,105,11571,5985,0.04,463,4,2,"5,117.16","6,453.84",,,
DO-1074,1/27/2021,2/2/2021,Standard,1525-ed jacobs,1,United States,USD,San Diego,California,South,stationary & office items,Art,dixon ticonderoga core-lock colored pencils,241,52,157,12532,8164,0.03,376,2,5,"3,985.04","8,546.96",,,
DO-1075,1/27/2021,2/2/2021,Standard,1525-ed jacobs,1,United States,USD,San Diego,California,South,home & lifestyle,Tables,balt split level computer training table,238,73,169,17374,12337,0.03,521,4,3,"4,508.78","12,865.22",,,
DO-1076,1/28/2021,2/3/2021,Standard,2182-jasper cacioppo,1,United States,USD,New York City,New York,South,stationary & office items,Binders,"pressboard covers with storage hooks, 9 1/2"" x 11"", light blue",234,84,196,19656,16464,0.03,590,2,3,"2,597.32","17,058.68",,,
DO-1077,1/30/2021,2/4/2021,Standard,3359-mike vittorini,1,United States,USD,Detroit,Michigan,South,stationary & office items,Storage,space solutions hd industrial steel shelving.,209,96,199,20064,19104,0.03,602,3,4,351.08,"19,712.92",,,
DO-1078,1/30/2021,2/4/2021,Standard,3359-mike vittorini,1,United States,USD,Detroit,Michigan,South,stationary & office items,Paper,xerox 1972,247,97,148,23959,14356,0.03,719,5,1,"8,878.23","15,080.77",,,
DO-1079,1/31/2021,2/2/2021,First Class,2902-liz carlisle,1,United States,USD,Mission Viejo,California,South,home & lifestyle,Bookcases,"sauder facets collection library, sky alder finish",232,68,181,15776,12308,0.05,789,5,5,"2,669.20","13,106.80",,,
DO-1080,2/1/2021,2/3/2021,First Class,667-bradley drucker,1,United States,USD,Green Bay,Wisconsin,South,electronics,Accessories,enermax aurora lite keyboard,232,89,104,20648,9256,0.03,619,5,1,"10,766.56","9,881.44",,,
DO-1081,2/2/2021,2/6/2021,Standard,1150-cynthia delaney,2,United States,USD,San Diego,California,South,stationary & office items,Fasteners,staples,234,69,181,16146,12489,0.05,807,3,1,"2,845.70","13,300.30",,,
DO-1082,2/2/2021,2/9/2021,Standard,1612-eric barreto,1,United States,USD,Saint Petersburg,Florida,South,electronics,Phones,at&t 17929 lendline telephone,231,52,158,12012,8216,0.04,480,1,3,"3,311.52","8,700.48",,,
DO-1083,2/2/2021,2/9/2021,Standard,1612-eric barreto,1,United States,USD,Saint Petersburg,Florida,South,stationary & office items,Binders,surelock post binders,233,54,149,12582,8046,0.05,629,3,3,"3,900.90","8,681.10",,,
DO-1084,2/3/2021,2/6/2021,Second Class,4572-tom boeckenhauer,1,United States,USD,Seattle,Washington,South,stationary & office items,Binders,ibico laser imprintable binding system covers,241,75,151,18075,11325,0.03,542,4,4,"6,199.75","11,875.25",,,
DO-1085,2/3/2021,2/6/2021,Second Class,4572-tom boeckenhauer,1,United States,USD,Seattle,Washington,South,stationary & office items,Binders,avery durable poly binders,241,57,190,13737,10830,0.03,412,2,1,"2,491.89","11,245.11",,,
DO-1086,2/4/2021,2/8/2021,Standard,1353-deborah brumfield,2,United States,USD,San Diego,California,South,stationary & office items,Paper,"message book, standard line ""while you were out"", 5 1/2"" x 4"", 200 sets/book",233,67,126,15611,8442,0.05,781,5,5,"6,378.45","9,232.55",,,
DO-1087,2/4/2021,2/8/2021,Standard,1353-deborah brumfield,2,United States,USD,San Diego,California,South,stationary & office items,Binders,gbc recycled grain textured covers,223,76,148,16948,11248,0.04,678,4,5,"5,013.08","11,934.92",,,
DO-1088,2/4/2021,2/8/2021,Second Class,3058-mark haberlin,3,United States,USD,Escondido,California,South,stationary & office items,Binders,"gbc standard recycled report covers, clear plastic sheets",231,90,170,20790,15300,0.05,1040,4,4,"4,442.50","16,347.50",,,
DO-1089,2/6/2021,2/9/2021,First Class,3437-neil ducich,3,United States,USD,Chesapeake,Virginia,South,electronics,Phones,aastra 57i voip phone,212,77,165,16324,12705,0.05,816,2,3,"2,797.80","13,526.20",,,
DO-1090,2/6/2021,2/9/2021,First Class,3437-neil ducich,3,United States,USD,Chesapeake,Virginia,South,electronics,Phones,at&t cl82213,236,79,184,18644,14536,0.03,559,5,1,"3,542.68","15,101.32",,,
DO-1091,2/6/2021,2/9/2021,First Class,3437-neil ducich,3,United States,USD,Chesapeake,Virginia,South,stationary & office items,Labels,avery 480,246,86,119,21156,10234,0.04,846,1,4,"10,070.76","11,085.24",,,
DO-1092,2/6/2021,2/10/2021,Second Class,1370-delfina latchford,1,United States,USD,Romeoville,Illinois,South,stationary & office items,Binders,"avery flip-chart easel binder, black",239,66,123,15774,8118,0.03,473,3,1,"7,178.78","8,595.22",,,
DO-1093,2/7/2021,2/12/2021,Standard,1136-cyma kinney,3,United States,USD,Linden,New Jersey,South,electronics,Accessories,maxell dvd-ram discs,236,96,128,22656,12288,0.05,1133,3,3,"9,229.20","13,426.80",,,
DO-1094,2/7/2021,2/10/2021,Second Class,939-chris selesnick,3,United States,USD,New York City,New York,South,stationary & office items,Storage,acco perma 4000 stacking storage drawers,220,53,125,11660,6625,0.05,583,4,2,"4,446.00","7,214.00",,,
DO-1095,2/8/2021,2/9/2021,First Class,3433-nathan mautz,2,United States,USD,North Las Vegas,Nevada,South,home & lifestyle,Furnishings,"master caster door stop, large brown",241,97,127,23377,12319,0.05,1169,3,5,"9,881.15","13,495.85",,,
DO-1096,2/11/2021,2/15/2021,Standard,3406-natalie fritzler,1,United States,USD,Chesapeake,Virginia,South,stationary & office items,Binders,wilson jones leather-like binders with dubllock round rings,231,53,119,12243,6307,0.04,490,2,1,"5,443.28","6,799.72",,,
DO-1097,2/11/2021,2/15/2021,Standard,3406-natalie fritzler,1,United States,USD,Chesapeake,Virginia,South,home & lifestyle,Tables,hon 2111 invitation series corner table,246,71,135,17466,9585,0.03,524,3,3,"7,351.02","10,114.98",,,
DO-1098,2/11/2021,2/15/2021,Standard,3406-natalie fritzler,1,United States,USD,Chesapeake,Virginia,South,electronics,Accessories,enermax aurora lite keyboard,205,57,155,11685,8835,0.05,584,1,2,"2,262.75","9,422.25",,,
DO-1099,2/11/2021,2/15/2021,Second Class,1928-guy armstrong,1,United States,USD,Columbia,Missouri,South,home & lifestyle,Furnishings,"rubbermaid clustermat chairmats, mat size- 66"" x 60"", lip 20"" x 11"" -90 degree angle",219,87,118,19053,10266,0.04,762,5,1,"8,018.88","11,034.12",,,
DO-1100,2/11/2021,2/15/2021,Second Class,1928-guy armstrong,1,United States,USD,Columbia,Missouri,South,stationary & office items,Binders,wilson jones turn tabs binder tool for ring binders,241,83,163,20003,13529,0.03,600,3,1,"5,869.91","14,133.09",,,
DO-1101,2/11/2021,2/15/2021,Second Class,1928-guy armstrong,1,United States,USD,Columbia,Missouri,South,home & lifestyle,Chairs,"global value mid-back manager's chair, gray",212,79,160,16748,12640,0.04,670,1,2,"3,435.08","13,312.92",,,
DO-1102,2/11/2021,2/15/2021,Second Class,1928-guy armstrong,1,United States,USD,Columbia,Missouri,South,stationary & office items,Storage,fellowes neat ideas storage cubes,202,88,127,17776,11176,0.05,889,1,3,"5,707.20","12,068.80",,,
DO-1103,2/11/2021,2/15/2021,Second Class,1928-guy armstrong,1,United States,USD,Columbia,Missouri,South,stationary & office items,Binders,varicap6 expandable binder,211,52,136,10972,7072,0.05,549,5,1,"3,345.40","7,626.60",,,
DO-1104,2/11/2021,2/15/2021,Second Class,1928-guy armstrong,1,United States,USD,Columbia,Missouri,South,stationary & office items,Labels,avery 483,250,96,101,24000,9696,0.04,960,4,1,"13,339.00","10,661.00",,,
DO-1105,2/12/2021,2/18/2021,Standard,2731-kevin brown,1,United States,USD,Concord,California,South,home & lifestyle,Chairs,"global geo office task chair, gray",248,72,143,17856,10296,0.05,893,4,2,"6,661.20","11,194.80",,,
DO-1106,2/14/2021,2/19/2021,Second Class,4559-tom adams,1,United States,USD,Houston,Texas,South,stationary & office items,Paper,"memo book, 100 message capacity, 5 3/8? x 11?",212,85,114,18020,9690,0.04,721,5,5,"7,599.20","10,420.80",,,
DO-1107,2/14/2021,2/18/2021,Standard,3046-marina lichtenstein,3,United States,USD,Seattle,Washington,South,stationary & office items,Supplies,compact automatic electric letter opener,240,69,156,16560,10764,0.03,497,1,3,"5,295.20","11,264.80",,,
DO-1108,2/14/2021,2/18/2021,Standard,3046-marina lichtenstein,3,United States,USD,Seattle,Washington,South,stationary & office items,Appliances,belkin 8 outlet surge protector,240,89,187,21360,16643,0.04,854,1,1,"3,860.60","17,499.40",,,
DO-1109,2/14/2021,2/18/2021,Standard,3046-marina lichtenstein,3,United States,USD,Seattle,Washington,South,electronics,Accessories,logitech g600 mmo gaming mouse,202,53,129,10706,6837,0.04,428,2,3,"3,435.76","7,270.24",,,
DO-1110,2/15/2021,2/19/2021,Standard,496-barry franz?sisch,3,United States,USD,Seattle,Washington,South,stationary & office items,Binders,pressboard data binders by wilson jones,211,71,143,14981,10153,0.04,599,5,2,"4,221.76","10,759.24",,,
DO-1111,2/16/2021,2/21/2021,Standard,3258-michael nguyen,1,United States,USD,Dallas,Texas,South,stationary & office items,Appliances,"holmes cool mist humidifier for the whole house with 8-gallon output per day, extended life filter",240,74,160,17760,11840,0.05,888,5,4,"5,023.00","12,737.00",,,
DO-1112,2/16/2021,2/21/2021,Standard,3258-michael nguyen,1,United States,USD,Dallas,Texas,South,stationary & office items,Binders,wilson jones easy flow ii sheet lifters,240,63,170,15120,10710,0.05,756,4,1,"3,649.00","11,471.00",,,
DO-1113,2/17/2021,2/24/2021,Standard,1365-delfina latchford,1,United States,USD,Chicago,Illinois,South,stationary & office items,Art,staples in misc. colors,249,80,136,19920,10880,0.03,598,2,3,"8,437.40","11,482.60",,,
DO-1114,2/18/2021,2/18/2021,Express Mail,4647-troy blackwell,1,United States,USD,Lubbock,Texas,South,home & lifestyle,Furnishings,"dax copper panel document frame, 5 x 7 size",200,70,198,14000,13860,0.04,560,1,4,-425,"14,425.00",,,
